epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8183,1.83554,2.52682,1.57092,0.50902,0.41295,0.26844,0.12421,1.7242,5.46475,1.8095,0.000407986,0.000407986,0.000407986
2,19.5088,1.41277,1.46959,1.32483,0.65975,0.42633,0.43212,0.22823,1.59391,2.08209,1.86988,0.000816489,0.000816489,0.000816489
3,26.7044,1.38392,1.33821,1.32492,0.50744,0.49682,0.47355,0.24488,1.56143,1.77469,1.71201,0.00121674,0.00121674,0.00121674
4,33.7941,1.40029,1.24529,1.39228,0.44539,0.55082,0.50177,0.28227,1.47509,1.57343,1.67007,0.00121287,0.00121287,0.00121287
5,40.7602,1.39577,1.17782,1.3745,0.32212,0.33952,0.31967,0.14215,2.06655,1.7921,2.07286,0.0012005,0.0012005,0.0012005
6,47.8655,1.35577,1.12273,1.36621,0.48624,0.40761,0.43508,0.24285,1.55431,1.69206,1.67123,0.00118812,0.00118812,0.00118812
7,54.7963,1.32745,1.09723,1.34864,0.62502,0.48418,0.54231,0.28231,1.54622,1.36158,1.72449,0.00117575,0.00117575,0.00117575
8,61.7683,1.3346,1.08062,1.35758,0.59486,0.62448,0.61929,0.34794,1.42312,1.34769,1.59942,0.00116337,0.00116337,0.00116337
9,68.9371,1.30252,1.05983,1.33724,0.73989,0.6307,0.72345,0.44476,1.33484,1.0708,1.55334,0.001151,0.001151,0.001151
10,75.831,1.3209,1.04903,1.33873,0.6335,0.64742,0.7133,0.41374,1.40894,1.27066,1.61076,0.00113863,0.00113863,0.00113863
11,82.6278,1.29435,1.01119,1.30812,0.66146,0.65531,0.70629,0.4407,1.32387,1.40534,1.51316,0.00112625,0.00112625,0.00112625
12,89.4144,1.2464,0.97389,1.30714,0.67888,0.73489,0.75506,0.46867,1.28436,1.16705,1.49123,0.00111388,0.00111388,0.00111388
13,96.4422,1.23515,0.94562,1.27849,0.65695,0.67469,0.6736,0.39744,1.31372,1.41031,1.514,0.0011015,0.0011015,0.0011015
14,103.233,1.22389,0.91838,1.2814,0.70996,0.71689,0.779,0.50339,1.26118,0.86484,1.4524,0.00108913,0.00108913,0.00108913
15,110.126,1.23193,0.92881,1.28681,0.7297,0.6863,0.76123,0.47885,1.28255,0.90255,1.4782,0.00107675,0.00107675,0.00107675
16,116.91,1.21228,0.90847,1.25086,0.75388,0.66419,0.74822,0.46887,1.28432,0.93378,1.48424,0.00106437,0.00106437,0.00106437
17,123.811,1.20387,0.8819,1.26647,0.74303,0.76159,0.81531,0.51982,1.23317,0.83029,1.45094,0.001052,0.001052,0.001052
18,130.659,1.18773,0.86208,1.25499,0.72613,0.73331,0.78588,0.47845,1.34392,0.86139,1.55848,0.00103962,0.00103962,0.00103962
19,137.408,1.19281,0.8724,1.25332,0.76397,0.75855,0.79767,0.50499,1.23899,0.79814,1.44862,0.00102725,0.00102725,0.00102725
20,144.295,1.17524,0.95916,1.24631,0.76894,0.79418,0.81963,0.51897,1.25955,0.79917,1.44664,0.00101488,0.00101488,0.00101488
21,151.174,1.18244,0.84754,1.25858,0.49024,0.51565,0.51317,0.3308,1.265,1.49335,1.45902,0.0010025,0.0010025,0.0010025
22,157.948,1.17299,0.85493,1.24606,0.68234,0.73775,0.75362,0.47504,1.27908,1.01333,1.47971,0.000990125,0.000990125,0.000990125
23,164.82,1.19566,0.87238,1.26257,0.78232,0.76046,0.81468,0.52395,1.20229,0.79447,1.41664,0.00097775,0.00097775,0.00097775
24,171.662,1.13599,0.79317,1.22891,0.73947,0.7937,0.82019,0.53275,1.24621,0.82953,1.44294,0.000965375,0.000965375,0.000965375
25,178.51,1.1474,0.81596,1.23439,0.74696,0.78,0.81641,0.51792,1.21188,0.78754,1.4167,0.000953,0.000953,0.000953
26,185.273,1.15821,0.81174,1.22702,0.7343,0.77178,0.80213,0.51062,1.23838,0.83492,1.41524,0.000940625,0.000940625,0.000940625
27,192.238,1.12565,0.79768,1.22686,0.80597,0.76297,0.8352,0.55216,1.18565,0.7427,1.39756,0.00092825,0.00092825,0.00092825
28,199.126,1.1318,0.7786,1.22505,0.81719,0.77899,0.85332,0.56565,1.17498,0.7002,1.37639,0.000915875,0.000915875,0.000915875
29,205.996,1.11946,0.77349,1.20665,0.78749,0.72462,0.81771,0.53686,1.18415,0.77516,1.39706,0.0009035,0.0009035,0.0009035
30,212.788,1.08139,1.01169,1.19029,0.76233,0.82018,0.82596,0.54279,1.20218,0.74943,1.4161,0.000891125,0.000891125,0.000891125
31,219.7,1.11467,0.76437,1.21786,0.81254,0.77567,0.84034,0.56831,1.17061,0.783,1.38433,0.00087875,0.00087875,0.00087875
32,226.577,1.10559,0.7493,1.19461,0.77086,0.82582,0.84433,0.5501,1.19844,0.79869,1.41902,0.000866375,0.000866375,0.000866375
33,233.409,1.10512,0.7382,1.20465,0.83491,0.73098,0.83508,0.55216,1.20222,0.77112,1.40269,0.000854,0.000854,0.000854
34,240.289,1.13938,0.73838,1.20034,0.7868,0.78769,0.82691,0.56507,1.16735,0.7398,1.38495,0.000841625,0.000841625,0.000841625
35,247.037,1.11813,0.75005,1.18136,0.83404,0.78951,0.85208,0.56206,1.20768,0.73315,1.42378,0.00082925,0.00082925,0.00082925
36,253.784,1.0903,0.72797,1.19488,0.8168,0.80833,0.8565,0.57151,1.16136,0.68784,1.38264,0.000816875,0.000816875,0.000816875
37,260.617,1.05789,0.70729,1.17548,0.7605,0.76832,0.82235,0.54138,1.20134,0.84896,1.43409,0.0008045,0.0008045,0.0008045
38,267.507,1.07473,0.71691,1.18458,0.80357,0.80645,0.85957,0.58195,1.15042,0.75906,1.36812,0.000792125,0.000792125,0.000792125
39,274.407,1.06416,0.69295,1.16626,0.75293,0.75891,0.81223,0.54171,1.15737,0.81516,1.37678,0.00077975,0.00077975,0.00077975
40,281.163,1.09635,0.68613,1.20386,0.78664,0.86083,0.86941,0.60075,1.12952,0.66184,1.35391,0.000767375,0.000767375,0.000767375
41,288.008,1.05871,0.67934,1.17061,0.81886,0.85191,0.88549,0.60464,1.12798,0.65641,1.35413,0.000755,0.000755,0.000755
42,294.961,1.08593,0.71175,1.2142,0.82137,0.80805,0.87224,0.59371,1.14668,0.67186,1.39277,0.000742625,0.000742625,0.000742625
43,301.732,1.06373,0.70719,1.17888,0.79379,0.81427,0.84366,0.57307,1.17342,0.73757,1.38895,0.00073025,0.00073025,0.00073025
44,308.506,1.04894,0.69057,1.17028,0.80986,0.80631,0.86294,0.58448,1.16357,0.71447,1.3873,0.000717875,0.000717875,0.000717875
45,315.462,1.04384,0.68497,1.14497,0.82184,0.79171,0.86677,0.60228,1.12503,0.68627,1.36345,0.0007055,0.0007055,0.0007055
46,322.213,1.02223,0.65877,1.14614,0.83528,0.79091,0.86766,0.60089,1.1218,0.67386,1.35119,0.000693125,0.000693125,0.000693125
47,328.969,1.04086,0.67738,1.16352,0.82788,0.82464,0.88304,0.61208,1.11344,0.66173,1.35794,0.00068075,0.00068075,0.00068075
48,335.807,1.03779,0.67174,1.16237,0.85216,0.75804,0.84344,0.58211,1.14793,0.76302,1.37287,0.000668375,0.000668375,0.000668375
49,342.685,1.02259,0.65105,1.13913,0.78701,0.84511,0.86743,0.60425,1.12271,0.65088,1.36956,0.000656,0.000656,0.000656
50,349.466,1.02067,0.65316,1.15812,0.83264,0.78509,0.85662,0.58451,1.12266,0.69232,1.36909,0.000643625,0.000643625,0.000643625
