epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.878,1.8463,3.42452,1.50952,0.02497,0.48296,0.10203,0.04885,1.37374,3.40461,1.19859,0.000407986,0.000407986,0.000407986
2,20.4492,1.4603,2.13048,1.2562,0.68949,0.25657,0.2219,0.12619,1.48134,2.12567,1.29621,0.000820571,0.000820571,0.000820571
3,30.2334,1.41631,1.8316,1.26567,0.63604,0.38134,0.37508,0.19225,1.56273,1.93065,1.39353,0.00122903,0.00122903,0.00122903
4,39.8426,1.41805,1.68492,1.24326,0.7491,0.48053,0.53825,0.32292,1.4006,1.46805,1.34208,0.00123144,0.00123144,0.00123144
5,49.6936,1.39912,1.60032,1.24615,0.75128,0.52292,0.53849,0.2995,1.44634,1.42994,1.35586,0.00122525,0.00122525,0.00122525
6,59.1904,1.34265,1.47078,1.22003,0.77183,0.52655,0.60448,0.34634,1.39705,1.25254,1.33492,0.00121906,0.00121906,0.00121906
7,68.9989,1.3507,1.38445,1.21579,0.83045,0.502,0.63093,0.38384,1.31725,1.20551,1.28512,0.00121287,0.00121287,0.00121287
8,78.5012,1.29495,1.63358,1.17633,0.47999,0.48865,0.49563,0.29022,1.38672,1.74936,1.33987,0.00120669,0.00120669,0.00120669
9,87.8766,1.32432,1.42167,1.20641,0.72635,0.57411,0.66122,0.40108,1.2921,1.13248,1.27082,0.0012005,0.0012005,0.0012005
10,97.7872,1.31247,1.27006,1.20639,0.6161,0.64641,0.6708,0.4117,1.27985,1.15975,1.24927,0.00119431,0.00119431,0.00119431
11,107.489,1.28608,1.22484,1.17998,0.64388,0.69062,0.69782,0.42275,1.29516,1.14031,1.26193,0.00118812,0.00118812,0.00118812
12,116.744,1.29951,1.21701,1.18734,0.73336,0.60058,0.69512,0.43043,1.30758,1.04124,1.25602,0.00118194,0.00118194,0.00118194
13,126.392,1.25591,1.20537,1.16674,0.69521,0.65777,0.71467,0.44243,1.23619,1.15382,1.22952,0.00117575,0.00117575,0.00117575
14,136.188,1.29314,1.17588,1.18591,0.65003,0.69191,0.69818,0.41937,1.3015,1.03579,1.25073,0.00116956,0.00116956,0.00116956
15,145.734,1.25405,1.13026,1.16004,0.73629,0.66242,0.73308,0.45514,1.25292,1.01453,1.23507,0.00116337,0.00116337,0.00116337
16,155.288,1.23117,1.11096,1.15092,0.69396,0.67272,0.72356,0.45389,1.21465,1.12083,1.22766,0.00115719,0.00115719,0.00115719
17,164.539,1.23693,1.10166,1.14686,0.70008,0.73668,0.7608,0.46478,1.25959,0.94704,1.23995,0.001151,0.001151,0.001151
18,173.956,1.22987,1.12608,1.1551,0.72502,0.68008,0.75642,0.47599,1.21748,0.99138,1.22332,0.00114481,0.00114481,0.00114481
19,183.45,1.22369,1.0853,1.16397,0.68323,0.73241,0.75909,0.46686,1.23565,0.93017,1.22824,0.00113863,0.00113863,0.00113863
20,192.669,1.22851,1.0496,1.14923,0.64583,0.69362,0.72234,0.44991,1.24169,1.01178,1.21958,0.00113244,0.00113244,0.00113244
21,202.103,1.23662,1.05622,1.15715,0.73328,0.71993,0.77307,0.49286,1.21203,0.93827,1.21896,0.00112625,0.00112625,0.00112625
22,211.753,1.19003,0.99469,1.13669,0.63577,0.78042,0.77339,0.49693,1.21278,0.93375,1.20523,0.00112006,0.00112006,0.00112006
23,221.191,1.21161,1.02225,1.1332,0.74358,0.7041,0.77123,0.47974,1.25026,1.01128,1.22577,0.00111388,0.00111388,0.00111388
24,230.834,1.21373,0.99497,1.13082,0.76473,0.71343,0.78679,0.4983,1.22346,0.92248,1.2143,0.00110769,0.00110769,0.00110769
25,240.153,1.19662,0.95591,1.13187,0.73561,0.7208,0.78563,0.49633,1.22193,0.9334,1.19949,0.0011015,0.0011015,0.0011015
26,249.46,1.18764,0.99144,1.11693,0.71983,0.76566,0.80215,0.51852,1.21353,0.87036,1.21533,0.00109531,0.00109531,0.00109531
27,258.722,1.18056,0.96619,1.12765,0.73972,0.71462,0.77894,0.4982,1.23902,0.89129,1.2204,0.00108913,0.00108913,0.00108913
28,268.319,1.206,0.96708,1.13535,0.71058,0.73882,0.78242,0.50297,1.24054,0.88491,1.22327,0.00108294,0.00108294,0.00108294
29,277.826,1.19333,0.96667,1.12545,0.78188,0.68841,0.78593,0.49668,1.23047,1.03997,1.21444,0.00107675,0.00107675,0.00107675
30,287.402,1.19043,0.95587,1.12334,0.71679,0.71984,0.76685,0.48043,1.28271,0.93512,1.24834,0.00107056,0.00107056,0.00107056
31,296.74,1.18125,0.94006,1.12201,0.73269,0.8015,0.82247,0.52577,1.20643,0.8494,1.2201,0.00106437,0.00106437,0.00106437
32,306.292,1.19643,0.95202,1.12982,0.73938,0.74368,0.79611,0.51815,1.20149,0.86255,1.1917,0.00105819,0.00105819,0.00105819
33,315.935,1.17587,0.93138,1.1256,0.78363,0.78605,0.84647,0.55765,1.17712,0.78828,1.19692,0.001052,0.001052,0.001052
34,325.545,1.16329,0.93824,1.1104,0.7549,0.76026,0.82141,0.53709,1.20872,0.86894,1.21317,0.00104581,0.00104581,0.00104581
35,335.119,1.15661,0.90177,1.10654,0.77893,0.71348,0.7868,0.50223,1.25921,0.88334,1.27121,0.00103962,0.00103962,0.00103962
36,344.429,1.16898,0.90929,1.11427,0.83762,0.71128,0.81525,0.5291,1.1771,0.82728,1.18689,0.00103344,0.00103344,0.00103344
37,353.699,1.1468,0.89345,1.10108,0.83967,0.73619,0.83855,0.54239,1.18798,0.81914,1.20256,0.00102725,0.00102725,0.00102725
38,363.454,1.13771,0.90565,1.10583,0.78545,0.75618,0.83109,0.54377,1.18552,0.8225,1.19313,0.00102106,0.00102106,0.00102106
