epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,378.167,1.10752,0.82354,1.07895,0.75128,0.7893,0.8226,0.55425,1.14736,0.80433,1.16456,0.0007055,0.0007055,0.0007055
46,387.029,1.08345,0.80704,1.06925,0.76885,0.76887,0.83584,0.55125,1.16521,0.76179,1.16403,0.000693125,0.000693125,0.000693125
47,395.76,1.08457,0.8132,1.07576,0.75817,0.83608,0.84227,0.56505,1.1567,0.80749,1.1742,0.00068075,0.00068075,0.00068075
48,404.36,1.10621,0.81963,1.08054,0.80071,0.78529,0.84103,0.56576,1.1436,0.73271,1.16814,0.000668375,0.000668375,0.000668375
49,412.079,1.08628,0.79768,1.07241,0.80513,0.79661,0.8456,0.56463,1.1618,0.7511,1.18628,0.000656,0.000656,0.000656
50,420.268,1.07651,0.77988,1.07003,0.78355,0.815,0.85619,0.57784,1.14201,0.73747,1.16594,0.000643625,0.000643625,0.000643625
51,429.281,1.0876,0.80653,1.07823,0.83123,0.77801,0.84794,0.56558,1.14215,0.76095,1.169,0.00063125,0.00063125,0.00063125
52,437.983,1.07283,0.76301,1.06195,0.81987,0.82432,0.86759,0.58052,1.1366,0.71932,1.17248,0.000618875,0.000618875,0.000618875
53,445.9,1.07504,0.76994,1.06278,0.78068,0.84573,0.85526,0.57592,1.14611,0.72719,1.16311,0.0006065,0.0006065,0.0006065
54,454.419,1.0587,0.76827,1.05824,0.80827,0.80048,0.85437,0.58136,1.13014,0.71895,1.15719,0.000594125,0.000594125,0.000594125
55,462.441,1.06576,0.7452,1.07196,0.81977,0.78823,0.86154,0.58275,1.12422,0.71438,1.16887,0.00058175,0.00058175,0.00058175
56,471.173,1.07134,0.75196,1.0572,0.78668,0.79976,0.83494,0.57131,1.14676,0.73249,1.16814,0.000569375,0.000569375,0.000569375
57,479.698,1.07333,0.75832,1.07141,0.8139,0.79054,0.84658,0.5687,1.132,0.71907,1.16437,0.000557,0.000557,0.000557
58,489.07,1.0446,0.73582,1.05133,0.8206,0.80176,0.86438,0.57828,1.13681,0.72158,1.16711,0.000544625,0.000544625,0.000544625
59,497.506,1.0508,0.75212,1.05796,0.8032,0.79725,0.85613,0.58698,1.12899,0.73571,1.15681,0.00053225,0.00053225,0.00053225
60,505.956,1.04671,0.75543,1.05345,0.82032,0.80759,0.86417,0.58477,1.13009,0.74641,1.15831,0.000519875,0.000519875,0.000519875
61,513.827,1.05283,0.7535,1.05628,0.793,0.8114,0.84137,0.58454,1.12139,0.73504,1.15047,0.0005075,0.0005075,0.0005075
62,522.51,1.05849,0.74456,1.04653,0.80259,0.83076,0.86051,0.59155,1.12126,0.71144,1.14445,0.000495125,0.000495125,0.000495125
63,530.601,1.06712,0.73526,1.05302,0.7656,0.85683,0.85994,0.59458,1.10372,0.70868,1.13891,0.00048275,0.00048275,0.00048275
64,538.935,1.03545,0.72125,1.03861,0.82217,0.80535,0.8595,0.58673,1.13482,0.71822,1.15788,0.000470375,0.000470375,0.000470375
65,545.097,1.03744,0.72248,1.04037,0.84685,0.80832,0.87055,0.59726,1.11025,0.67947,1.14151,0.000458,0.000458,0.000458
66,552.884,1.03642,0.7261,1.03811,0.82344,0.80538,0.85471,0.59226,1.11844,0.68901,1.14818,0.000445625,0.000445625,0.000445625
67,561.082,1.02559,0.71854,1.03988,0.8316,0.80247,0.87199,0.60307,1.12236,0.69882,1.14908,0.00043325,0.00043325,0.00043325
68,569.679,1.02857,0.69822,1.04647,0.78006,0.856,0.8764,0.60612,1.12136,0.68962,1.15665,0.000420875,0.000420875,0.000420875
69,577.37,1.03374,0.70991,1.04845,0.85633,0.80877,0.87457,0.60466,1.12227,0.69383,1.15298,0.0004085,0.0004085,0.0004085
70,584.654,1.03127,0.72014,1.03765,0.84537,0.82807,0.87517,0.60144,1.12481,0.688,1.16392,0.000396125,0.000396125,0.000396125
71,592.873,1.02702,0.69775,1.04007,0.84342,0.8189,0.87854,0.60654,1.10838,0.67618,1.14671,0.00038375,0.00038375,0.00038375
72,601.253,1.0041,0.67383,1.03236,0.83342,0.817,0.88337,0.61317,1.0945,0.66595,1.13424,0.000371375,0.000371375,0.000371375
73,610.203,1.01175,0.70395,1.03799,0.87244,0.78643,0.86883,0.6,1.1177,0.68318,1.1546,0.000359,0.000359,0.000359
74,618.579,1.0233,0.69579,1.03229,0.82839,0.80177,0.86641,0.60081,1.11278,0.67971,1.14318,0.000346625,0.000346625,0.000346625
75,627.032,1.00392,0.68999,1.02247,0.83978,0.83231,0.87247,0.60376,1.10765,0.66534,1.1461,0.00033425,0.00033425,0.00033425
76,635.359,1.01154,0.68737,1.03982,0.80288,0.83451,0.86742,0.60771,1.10224,0.66941,1.13893,0.000321875,0.000321875,0.000321875
77,643.462,0.98489,0.66425,1.02079,0.81467,0.84571,0.86844,0.61164,1.10326,0.66684,1.14196,0.0003095,0.0003095,0.0003095
78,650.502,0.98159,0.67338,1.02428,0.85576,0.79999,0.87715,0.61104,1.12228,0.67088,1.15743,0.000297125,0.000297125,0.000297125
79,658.818,1.00026,0.68878,1.0284,0.82088,0.83514,0.87878,0.61586,1.10267,0.65989,1.1425,0.00028475,0.00028475,0.00028475
80,665.926,1.0086,0.68526,1.03359,0.81331,0.8312,0.85569,0.59859,1.10964,0.673,1.14443,0.000272375,0.000272375,0.000272375
81,674.46,0.98801,0.66486,1.01866,0.81508,0.83855,0.87318,0.6124,1.09912,0.65954,1.14299,0.00026,0.00026,0.00026
82,683.253,0.97179,0.66107,1.00928,0.82536,0.85288,0.88153,0.61619,1.10254,0.66952,1.13608,0.000247625,0.000247625,0.000247625
83,691.634,0.9659,0.65575,1.0112,0.8436,0.83696,0.8856,0.61942,1.09319,0.65546,1.13796,0.00023525,0.00023525,0.00023525
84,700.291,0.9897,0.65799,1.0211,0.86238,0.82148,0.89052,0.62272,1.09632,0.64603,1.1339,0.000222875,0.000222875,0.000222875
85,708.482,0.9602,0.67455,1.01061,0.81267,0.85257,0.88328,0.61877,1.09755,0.64978,1.14205,0.0002105,0.0002105,0.0002105
86,715.687,0.97709,0.64758,1.0198,0.86436,0.82237,0.88313,0.62322,1.09709,0.65096,1.13794,0.000198125,0.000198125,0.000198125
87,724.634,0.96319,0.63787,1.01438,0.85464,0.83295,0.8815,0.61959,1.09364,0.65224,1.13284,0.00018575,0.00018575,0.00018575
88,731.805,0.95759,0.63372,1.00853,0.83175,0.84302,0.88412,0.62609,1.08942,0.64574,1.13173,0.000173375,0.000173375,0.000173375
89,739.443,0.9608,0.6363,1.00582,0.85775,0.83556,0.88934,0.62964,1.09029,0.63974,1.13898,0.000161,0.000161,0.000161
90,747.927,0.95462,0.62455,1.00349,0.84147,0.84165,0.88582,0.62569,1.09292,0.63648,1.13301,0.000148625,0.000148625,0.000148625
