epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8321,1.8463,3.42452,1.50952,0.02497,0.48296,0.10203,0.04885,1.37374,3.40461,1.19859,0.000407986,0.000407986,0.000407986
2,19.3318,1.4603,2.13048,1.2562,0.68949,0.25657,0.2219,0.12619,1.48134,2.12567,1.29621,0.000820571,0.000820571,0.000820571
3,28.3347,1.41631,1.8316,1.26567,0.63604,0.38134,0.37508,0.19225,1.56273,1.93065,1.39353,0.00122903,0.00122903,0.00122903
4,36.867,1.41805,1.68492,1.24326,0.7491,0.48053,0.53825,0.32292,1.4006,1.46805,1.34208,0.00123144,0.00123144,0.00123144
5,45.4268,1.39912,1.60032,1.24615,0.75128,0.52292,0.53849,0.2995,1.44634,1.42994,1.35586,0.00122525,0.00122525,0.00122525
6,53.8402,1.34265,1.47078,1.22003,0.77183,0.52655,0.60448,0.34634,1.39705,1.25254,1.33492,0.00121906,0.00121906,0.00121906
7,62.6062,1.3507,1.38445,1.21579,0.83045,0.502,0.63093,0.38384,1.31725,1.20551,1.28512,0.00121287,0.00121287,0.00121287
8,71.3538,1.29495,1.63358,1.17633,0.47999,0.48865,0.49563,0.29022,1.38672,1.74936,1.33987,0.00120669,0.00120669,0.00120669
9,79.7873,1.32432,1.42167,1.20641,0.72635,0.57411,0.66122,0.40108,1.2921,1.13248,1.27082,0.0012005,0.0012005,0.0012005
10,88.3064,1.31247,1.27006,1.20639,0.6161,0.64641,0.6708,0.4117,1.27985,1.15975,1.24927,0.00119431,0.00119431,0.00119431
11,97.2786,1.28608,1.22484,1.17998,0.64388,0.69062,0.69782,0.42275,1.29516,1.14031,1.26193,0.00118812,0.00118812,0.00118812
12,106.747,1.29951,1.21701,1.18734,0.73336,0.60058,0.69512,0.43043,1.30758,1.04124,1.25602,0.00118194,0.00118194,0.00118194
13,116.232,1.25591,1.20537,1.16674,0.69521,0.65777,0.71467,0.44243,1.23619,1.15382,1.22952,0.00117575,0.00117575,0.00117575
14,125.359,1.29314,1.17588,1.18591,0.65003,0.69191,0.69818,0.41937,1.3015,1.03579,1.25073,0.00116956,0.00116956,0.00116956
15,136.24,1.25405,1.13026,1.16004,0.73629,0.66242,0.73308,0.45514,1.25292,1.01453,1.23507,0.00116337,0.00116337,0.00116337
16,147.145,1.23117,1.11096,1.15092,0.69396,0.67272,0.72356,0.45389,1.21465,1.12083,1.22766,0.00115719,0.00115719,0.00115719
17,157.678,1.23693,1.10166,1.14686,0.70008,0.73668,0.7608,0.46478,1.25959,0.94704,1.23995,0.001151,0.001151,0.001151
18,168.563,1.22987,1.12608,1.1551,0.72502,0.68008,0.75642,0.47599,1.21748,0.99138,1.22332,0.00114481,0.00114481,0.00114481
19,179.083,1.22369,1.0853,1.16397,0.68323,0.73241,0.75909,0.46686,1.23565,0.93017,1.22824,0.00113863,0.00113863,0.00113863
