epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93543,1.8463,3.42452,1.50952,0.02497,0.48296,0.10203,0.04885,1.37374,3.40461,1.19859,0.000407986,0.000407986,0.000407986
2,17.7722,1.46203,2.13095,1.2583,0.67041,0.24448,0.20861,0.11686,1.4856,2.21499,1.30023,0.00082302,0.00082302,0.00082302
3,26.5725,1.41956,1.84495,1.27772,0.59715,0.3614,0.33175,0.16532,1.54667,1.95202,1.4142,0.0012364,0.0012364,0.0012364
4,35.3198,1.41055,1.68744,1.24669,0.74627,0.45824,0.51682,0.30816,1.39901,1.52493,1.35854,0.00124257,0.00124257,0.00124257
5,44.1308,1.37483,1.59129,1.24087,0.76598,0.52526,0.5471,0.30888,1.47572,1.45255,1.39287,0.0012401,0.0012401,0.0012401
6,52.7396,1.35116,1.48348,1.2274,0.80761,0.52665,0.61371,0.37531,1.33593,1.23704,1.32305,0.00123763,0.00123763,0.00123763
7,61.9178,1.34662,1.37764,1.21898,0.77508,0.52224,0.62922,0.36901,1.34101,1.25562,1.31346,0.00123515,0.00123515,0.00123515
8,70.6309,1.29386,1.61135,1.17824,0.58363,0.54478,0.58596,0.35029,1.33251,1.3983,1.29851,0.00123268,0.00123268,0.00123268
9,79.1599,1.31402,1.41004,1.21642,0.63878,0.6052,0.65999,0.4032,1.31125,1.212,1.30245,0.0012302,0.0012302,0.0012302
10,87.8171,1.32164,1.28478,1.21569,0.62962,0.63634,0.65915,0.4023,1.31439,1.20249,1.29171,0.00122773,0.00122773,0.00122773
11,96.5992,1.29645,1.23598,1.18646,0.61733,0.62746,0.67141,0.4021,1.29689,1.23309,1.28316,0.00122525,0.00122525,0.00122525
12,105.233,1.30631,1.22671,1.19911,0.58479,0.68626,0.68691,0.42447,1.24711,1.20237,1.2337,0.00122277,0.00122277,0.00122277
13,113.95,1.2768,1.2196,1.18283,0.72663,0.65698,0.70954,0.43854,1.23437,1.03351,1.2379,0.0012203,0.0012203,0.0012203
14,122.579,1.29719,1.1811,1.19348,0.68601,0.60513,0.66839,0.40953,1.29453,1.12235,1.24456,0.00121783,0.00121783,0.00121783
15,131.164,1.2631,1.1311,1.16699,0.71101,0.66822,0.71605,0.43083,1.32084,1.01448,1.28222,0.00121535,0.00121535,0.00121535
16,139.811,1.24403,1.11945,1.16579,0.7052,0.69627,0.71137,0.45251,1.23063,0.99536,1.23529,0.00121287,0.00121287,0.00121287
17,148.458,1.24882,1.10052,1.15668,0.72104,0.70377,0.75349,0.45972,1.25564,1.02111,1.28066,0.0012104,0.0012104,0.0012104
18,156.993,1.24067,1.11519,1.16356,0.69946,0.72329,0.77044,0.46789,1.24226,1.05456,1.2463,0.00120793,0.00120793,0.00120793
19,165.423,1.2373,1.09119,1.17469,0.66503,0.76265,0.76041,0.47839,1.2335,0.95718,1.24285,0.00120545,0.00120545,0.00120545
20,173.826,1.23011,1.04668,1.15276,0.64108,0.68059,0.701,0.41977,1.31492,1.14422,1.27501,0.00120298,0.00120298,0.00120298
21,182.349,1.2393,1.04758,1.15912,0.71092,0.7293,0.77508,0.49463,1.21323,0.92037,1.22235,0.0012005,0.0012005,0.0012005
22,191.085,1.19589,1.00434,1.13818,0.64575,0.73604,0.75301,0.4776,1.23526,0.94399,1.21918,0.00119802,0.00119802,0.00119802
23,199.878,1.22129,1.0216,1.139,0.71319,0.73566,0.76812,0.4722,1.24504,0.94856,1.22863,0.00119555,0.00119555,0.00119555
24,208.38,1.22827,1.00422,1.13989,0.7784,0.70129,0.76216,0.45272,1.2996,0.99667,1.26699,0.00119308,0.00119308,0.00119308
25,216.782,1.20869,0.96963,1.14386,0.70591,0.7513,0.78501,0.49884,1.25334,0.86334,1.2349,0.0011906,0.0011906,0.0011906
26,225.115,1.19751,1.02465,1.12495,0.71917,0.72802,0.78314,0.49123,1.25671,0.97414,1.23564,0.00118812,0.00118812,0.00118812
27,233.445,1.18129,0.96071,1.13233,0.73525,0.70592,0.75429,0.48079,1.26866,0.9466,1.23029,0.00118565,0.00118565,0.00118565
