epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55628,1.87152,2.80533,1.52242,0.53667,0.33804,0.24916,0.12517,1.67124,2.37954,1.50637,0.000407986,0.000407986,0.000407986
2,14.7381,1.35892,1.4459,1.20917,0.78105,0.51624,0.5617,0.33643,1.39295,1.40448,1.3148,0.00081921,0.00081921,0.00081921
3,19.5643,1.37085,1.35888,1.20549,0.68407,0.44479,0.46604,0.26687,1.47564,1.34256,1.33539,0.00122493,0.00122493,0.00122493
4,24.3601,1.36084,1.26252,1.21651,0.50344,0.61777,0.57906,0.3379,1.37898,1.46185,1.29826,0.00122525,0.00122525,0.00122525
5,29.0667,1.32283,1.20242,1.18902,0.56009,0.59646,0.59432,0.35346,1.31763,1.21413,1.30166,0.001217,0.001217,0.001217
6,33.6989,1.31459,1.13904,1.18652,0.61657,0.62216,0.64972,0.40047,1.29394,1.08975,1.28087,0.00120875,0.00120875,0.00120875
7,38.3358,1.28039,1.11537,1.17791,0.60889,0.65914,0.67085,0.40664,1.32772,1.06556,1.3021,0.0012005,0.0012005,0.0012005
8,42.9526,1.30668,1.0825,1.19698,0.67613,0.63466,0.67879,0.40892,1.31254,1.13182,1.29996,0.00119225,0.00119225,0.00119225
9,47.5706,1.25822,1.02971,1.17089,0.70278,0.65549,0.71564,0.4383,1.29433,1.22986,1.25437,0.001184,0.001184,0.001184
10,52.4453,1.25946,1.07131,1.16333,0.69044,0.67097,0.73468,0.43486,1.33277,1.16464,1.31324,0.00117575,0.00117575,0.00117575
11,57.0651,1.26127,1.02572,1.16588,0.72513,0.66844,0.7308,0.45719,1.25536,1.00973,1.24809,0.0011675,0.0011675,0.0011675
12,61.6978,1.22491,0.98963,1.14959,0.72506,0.68212,0.75466,0.49318,1.21929,0.93349,1.21383,0.00115925,0.00115925,0.00115925
13,66.2998,1.23483,0.981,1.14825,0.67633,0.69216,0.73101,0.45915,1.26751,0.97226,1.23795,0.001151,0.001151,0.001151
14,70.8642,1.20888,0.95187,1.14083,0.71629,0.72059,0.74958,0.47539,1.24537,0.86549,1.24433,0.00114275,0.00114275,0.00114275
15,75.4521,1.20888,0.9654,1.14469,0.73855,0.72243,0.7731,0.49274,1.24013,0.88878,1.23372,0.0011345,0.0011345,0.0011345
16,80.2512,1.20128,0.93171,1.12208,0.71631,0.71708,0.77197,0.49855,1.21496,0.90515,1.21009,0.00112625,0.00112625,0.00112625
17,84.9278,1.19743,0.91519,1.1274,0.73195,0.80341,0.81471,0.51578,1.21933,0.88238,1.2236,0.001118,0.001118,0.001118
18,89.6219,1.17499,0.89592,1.11669,0.75113,0.72922,0.78989,0.50751,1.22523,0.85591,1.22079,0.00110975,0.00110975,0.00110975
19,94.2129,1.17944,0.89313,1.12031,0.7323,0.78914,0.80046,0.50295,1.25579,0.8496,1.23715,0.0011015,0.0011015,0.0011015
20,98.847,1.17559,0.96448,1.1176,0.74607,0.75395,0.78477,0.50011,1.23464,0.83622,1.23115,0.00109325,0.00109325,0.00109325
21,103.501,1.1687,0.87984,1.11807,0.72379,0.79543,0.81748,0.52305,1.23672,0.79362,1.22707,0.001085,0.001085,0.001085
22,108.063,1.15791,0.88544,1.1128,0.7513,0.74382,0.79641,0.52211,1.21027,0.90523,1.21137,0.00107675,0.00107675,0.00107675
23,112.576,1.16575,0.88376,1.11511,0.77613,0.77363,0.80638,0.52094,1.20848,0.87129,1.20009,0.0010685,0.0010685,0.0010685
24,117.099,1.13612,0.83362,1.10141,0.79243,0.74432,0.80829,0.52913,1.1815,0.78829,1.19663,0.00106025,0.00106025,0.00106025
25,121.689,1.1508,0.84809,1.11237,0.7902,0.79139,0.82946,0.54944,1.18117,0.79221,1.19086,0.001052,0.001052,0.001052
26,126.375,1.15442,0.84639,1.10385,0.68128,0.76997,0.77624,0.49097,1.25286,0.8815,1.23605,0.00104375,0.00104375,0.00104375
