epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3773,1.81416,2.49383,1.64596,0.01234,0.22844,0.00976,0.00423,2.22059,inf,2.42218,0.000407986,0.000407986,0.000407986
2,29.6993,1.43506,1.43123,1.43033,0,0,0,0,nan,nan,nan,0.000816489,0.000816489,0.000816489
3,43.31,1.48012,1.40505,1.43786,0.65483,0.37409,0.37977,0.20203,1.69957,4.20022,2.05015,0.00121674,0.00121674,0.00121674
4,56.8782,1.50078,1.31856,1.44675,0.11453,0.04856,0.03304,0.01041,3.44301,3.27525,3.24165,0.00121287,0.00121287,0.00121287
5,70.5222,1.41606,1.20641,1.42772,0.56825,0.18871,0.20417,0.08875,2.51665,6.05557,2.59403,0.0012005,0.0012005,0.0012005
6,83.6737,1.37468,1.20248,1.37797,0.49628,0.51414,0.5015,0.28031,1.52465,1.5607,1.72119,0.00118812,0.00118812,0.00118812
7,97.1115,1.33224,1.16116,1.34331,0.41083,0.44399,0.39393,0.21762,1.5209,1.67455,1.68989,0.00117575,0.00117575,0.00117575
8,110.342,1.31712,1.13005,1.35103,0.67953,0.56632,0.64061,0.38721,1.35324,1.22365,1.53734,0.00116337,0.00116337,0.00116337
9,123.622,1.29116,1.04091,1.33354,0.64151,0.56692,0.63819,0.37741,1.36564,1.39853,1.54577,0.001151,0.001151,0.001151
10,136.846,1.29923,1.02585,1.34106,0.80906,0.53086,0.61021,0.36529,1.39769,1.43469,1.57074,0.00113863,0.00113863,0.00113863
11,150.109,1.28591,0.99901,1.30219,0.63225,0.67632,0.65794,0.39914,1.29929,1.31978,1.51101,0.00112625,0.00112625,0.00112625
12,163.42,1.25732,1.00557,1.31513,0.57559,0.68008,0.64348,0.37234,1.42794,1.21188,1.57234,0.00111388,0.00111388,0.00111388
13,176.587,1.25387,0.97877,1.29274,0.55693,0.69598,0.65459,0.36438,1.41603,1.51026,1.62716,0.0011015,0.0011015,0.0011015
14,189.799,1.24926,0.94773,1.29055,0.64198,0.70146,0.7049,0.43896,1.29462,0.96421,1.48963,0.00108913,0.00108913,0.00108913
15,203.094,1.26754,0.96435,1.31843,0.74301,0.65785,0.72013,0.45171,1.28171,0.93681,1.47921,0.00107675,0.00107675,0.00107675
16,216.374,1.22175,0.92292,1.26447,0.63378,0.69897,0.72224,0.45274,1.27346,0.9939,1.46282,0.00106437,0.00106437,0.00106437
17,229.86,1.2237,0.92992,1.28381,0.74855,0.68049,0.76089,0.46015,1.28918,0.86353,1.46523,0.001052,0.001052,0.001052
18,243.145,1.19185,0.86446,1.2502,0.69801,0.67477,0.72859,0.45841,1.24361,0.9919,1.45608,0.00103962,0.00103962,0.00103962
19,256.341,1.19106,0.85366,1.25118,0.73509,0.66681,0.72987,0.45569,1.26443,1.00362,1.46069,0.00102725,0.00102725,0.00102725
20,269.46,1.22769,0.89758,1.26755,0.77768,0.70926,0.78416,0.50792,1.22043,0.94662,1.43039,0.00101488,0.00101488,0.00101488
21,282.742,1.1887,0.89488,1.2495,0.70682,0.69778,0.74955,0.46355,1.27279,0.89132,1.48058,0.0010025,0.0010025,0.0010025
22,295.934,1.2186,0.87234,1.27907,0.7708,0.71809,0.77909,0.49046,1.27666,0.84634,1.50711,0.000990125,0.000990125,0.000990125
23,309.051,1.1828,0.85605,1.25142,0.74457,0.74398,0.78183,0.50634,1.20928,0.80103,1.41028,0.00097775,0.00097775,0.00097775
24,322.128,1.18512,0.85004,1.24462,0.73976,0.79372,0.81803,0.5351,1.22003,0.77205,1.42644,0.000965375,0.000965375,0.000965375
25,335.572,1.18087,0.84169,1.26083,0.80567,0.78457,0.83391,0.55164,1.16943,0.74734,1.38105,0.000953,0.000953,0.000953
26,348.909,1.14669,0.80474,1.23356,0.783,0.76638,0.81442,0.53426,1.20778,0.76473,1.39763,0.000940625,0.000940625,0.000940625
27,362.508,1.15655,0.83073,1.2338,0.75095,0.75218,0.80895,0.53292,1.2213,0.81131,1.44079,0.00092825,0.00092825,0.00092825
28,375.745,1.13377,0.80994,1.21526,0.68333,0.65361,0.69498,0.44828,1.21971,1.00144,1.41484,0.000915875,0.000915875,0.000915875
29,388.806,1.13789,0.81189,1.22517,0.76158,0.77718,0.82645,0.55319,1.16088,0.77383,1.38175,0.0009035,0.0009035,0.0009035
