epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0932,1.81416,2.49383,1.64596,0.01234,0.22844,0.00976,0.00423,2.22059,inf,2.42218,0.000407986,0.000407986,0.000407986
2,28.9013,1.43208,1.44836,1.42976,0.00142,0.00863,0.00109,0.00025,4.64817,7.06988,9.04698,0.000820571,0.000820571,0.000820571
3,42.3753,1.48671,1.38105,1.4381,0.57876,0.2887,0.32287,0.1546,1.84079,2.08301,2.08879,0.00122903,0.00122903,0.00122903
4,56.4083,1.45554,1.31816,1.42226,0.63583,0.12128,0.08376,0.03092,2.78289,7.66016,2.85174,0.00123144,0.00123144,0.00123144
5,69.9455,1.41484,1.22198,1.42748,0.62343,0.23984,0.25746,0.12853,2.07961,2.04094,2.22543,0.00122525,0.00122525,0.00122525
6,83.2573,1.40287,1.23497,1.39012,0.22902,0.18418,0.14545,0.05751,2.78629,2.64162,2.44039,0.00121906,0.00121906,0.00121906
