epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9224,1.79626,2.48653,1.56751,0.25614,0.22993,0.17619,0.07804,1.93425,2.59436,1.879,0.000407986,0.000407986,0.000407986
2,22.6512,1.40783,1.45872,1.33992,0.78415,0.27824,0.28525,0.13263,1.9712,1.99384,1.99646,0.000816489,0.000816489,0.000816489
3,33.0794,1.40091,1.35363,1.34393,0.27452,0.45406,0.27328,0.1507,1.58696,2.77935,1.81941,0.00121674,0.00121674,0.00121674
4,43.2537,1.44603,1.27556,1.35594,0.58499,0.37149,0.38044,0.19129,1.67718,1.90026,1.99393,0.00121287,0.00121287,0.00121287
5,53.6258,1.37254,1.19207,1.37155,0.60692,0.49849,0.55067,0.30576,1.45509,1.83774,1.67238,0.0012005,0.0012005,0.0012005
6,63.661,1.34644,1.19546,1.33306,0.52412,0.25802,0.3513,0.19588,1.71216,2.28525,1.77174,0.00118812,0.00118812,0.00118812
7,73.6453,1.29899,1.11303,1.29691,0.65226,0.55377,0.62662,0.37356,1.35241,1.23489,1.54221,0.00117575,0.00117575,0.00117575
8,84.0773,1.29161,1.08087,1.30906,0.62346,0.60888,0.64968,0.39161,1.38948,1.17824,1.56328,0.00116337,0.00116337,0.00116337
9,94.2336,1.27999,1.08671,1.29257,0.64011,0.61009,0.60118,0.33238,1.49844,1.35026,1.61747,0.001151,0.001151,0.001151
10,104.386,1.2747,1.04051,1.29459,0.64285,0.62385,0.65496,0.37873,1.43071,1.30404,1.60817,0.00113863,0.00113863,0.00113863
11,114.684,1.27549,0.98087,1.27459,0.53747,0.57813,0.55049,0.33277,1.38779,1.70448,1.60956,0.00112625,0.00112625,0.00112625
12,124.887,1.26022,1.00746,1.28454,0.70157,0.66905,0.71789,0.44778,1.29444,1.06606,1.47669,0.00111388,0.00111388,0.00111388
13,135.057,1.23766,0.94992,1.26162,0.7054,0.60991,0.70234,0.43465,1.26598,0.9851,1.44062,0.0011015,0.0011015,0.0011015
14,145.261,1.22232,0.93346,1.24958,0.688,0.6296,0.67794,0.42713,1.28073,1.04377,1.42405,0.00108913,0.00108913,0.00108913
15,155.221,1.25048,0.97794,1.27401,0.76984,0.66602,0.74808,0.46853,1.27279,0.91337,1.44357,0.00107675,0.00107675,0.00107675
16,165.638,1.22605,0.92363,1.23771,0.67999,0.7059,0.7363,0.46009,1.27957,1.09942,1.49255,0.00106437,0.00106437,0.00106437
17,175.564,1.23257,0.95542,1.26628,0.71688,0.72805,0.75739,0.47007,1.26644,0.92526,1.44428,0.001052,0.001052,0.001052
18,185.641,1.1903,0.87355,1.22572,0.69981,0.63717,0.70399,0.43815,1.25411,1.14329,1.41502,0.00103962,0.00103962,0.00103962
19,195.823,1.18777,0.87112,1.2238,0.75296,0.74891,0.79951,0.52455,1.2096,0.85246,1.39043,0.00102725,0.00102725,0.00102725
20,205.874,1.20496,0.90114,1.23043,0.78706,0.75384,0.80557,0.5156,1.22824,0.80938,1.41575,0.00101488,0.00101488,0.00101488
21,215.928,1.16986,0.89643,1.21605,0.72235,0.77956,0.79516,0.51736,1.21551,0.82836,1.39656,0.0010025,0.0010025,0.0010025
22,226.089,1.19544,0.86612,1.23191,0.78302,0.70176,0.79818,0.5119,1.20382,0.88266,1.41463,0.000990125,0.000990125,0.000990125
23,236.034,1.17678,0.86428,1.22748,0.76646,0.72804,0.7872,0.49922,1.23169,0.85451,1.41489,0.00097775,0.00097775,0.00097775
24,246.169,1.17502,0.85202,1.21068,0.7136,0.74641,0.75731,0.48371,1.30177,0.88005,1.47635,0.000965375,0.000965375,0.000965375
25,256.228,1.17548,0.82765,1.23714,0.68862,0.70868,0.74552,0.48027,1.24598,1.22632,1.46012,0.000953,0.000953,0.000953
26,266.224,1.13786,0.87718,1.21012,0.78024,0.75913,0.82,0.53181,1.2462,0.77352,1.41047,0.000940625,0.000940625,0.000940625
27,276.493,1.1575,0.84463,1.22232,0.71443,0.8016,0.79881,0.51457,1.20524,0.85518,1.39997,0.00092825,0.00092825,0.00092825
28,286.477,1.13213,0.83579,1.1947,0.79032,0.70509,0.7959,0.50294,1.22712,0.78104,1.40637,0.000915875,0.000915875,0.000915875
29,296.436,1.12335,0.82709,1.19822,0.78003,0.76775,0.82841,0.55498,1.17441,0.73049,1.38137,0.0009035,0.0009035,0.0009035
30,306.926,1.12341,0.79305,1.19926,0.70179,0.70848,0.73464,0.45778,1.35213,0.94377,1.52122,0.000891125,0.000891125,0.000891125
31,316.869,1.1149,0.76831,1.18989,0.79915,0.78224,0.84064,0.55614,1.1844,0.75563,1.39012,0.00087875,0.00087875,0.00087875
32,326.98,1.09859,0.78061,1.17658,0.79508,0.78613,0.85038,0.55774,1.17987,0.73541,1.36324,0.000866375,0.000866375,0.000866375
33,337.269,1.11615,0.77589,1.20204,0.83002,0.7589,0.85545,0.57018,1.17618,0.71056,1.36803,0.000854,0.000854,0.000854
34,347.426,1.07531,0.74079,1.16084,0.82089,0.7427,0.82583,0.56517,1.14922,0.73914,1.35666,0.000841625,0.000841625,0.000841625
35,357.372,1.11101,0.76979,1.19926,0.79149,0.78102,0.84021,0.56187,1.1795,0.70117,1.3803,0.00082925,0.00082925,0.00082925
36,367.471,1.09456,0.73437,1.18748,0.81328,0.75044,0.82831,0.56269,1.17085,0.73379,1.36892,0.000816875,0.000816875,0.000816875
37,377.426,1.08991,0.7226,1.17083,0.79269,0.74442,0.83479,0.56616,1.16845,0.78733,1.36802,0.0008045,0.0008045,0.0008045
38,387.649,1.0859,0.73927,1.16138,0.75462,0.79988,0.81632,0.54466,1.1673,0.79427,1.37649,0.000792125,0.000792125,0.000792125
39,397.582,1.06986,0.71117,1.1614,0.79433,0.79066,0.8422,0.56294,1.17238,0.71955,1.38269,0.00077975,0.00077975,0.00077975
40,407.523,1.06668,0.69855,1.14641,0.80655,0.81761,0.8561,0.58559,1.15389,0.69216,1.35428,0.000767375,0.000767375,0.000767375
41,417.754,1.0597,0.70533,1.15538,0.82951,0.77678,0.86371,0.58701,1.13155,0.68585,1.33843,0.000755,0.000755,0.000755
42,427.969,1.07088,0.71141,1.16377,0.75435,0.79068,0.82534,0.5412,1.19593,0.76657,1.39293,0.000742625,0.000742625,0.000742625
43,437.91,1.04341,0.69828,1.15438,0.81138,0.78168,0.8515,0.58318,1.15256,0.74083,1.35255,0.00073025,0.00073025,0.00073025
