epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3985,1.81416,2.49383,1.64596,0.01234,0.22844,0.00976,0.00423,2.22059,inf,2.42218,0.000407986,0.000407986,0.000407986
2,35.258,1.43208,1.44836,1.42976,0.00142,0.00863,0.00109,0.00025,4.64817,7.06988,9.04698,0.000820571,0.000820571,0.000820571
3,50.8273,1.48671,1.38105,1.4381,0.57876,0.2887,0.32287,0.1546,1.84079,2.08301,2.08879,0.00122903,0.00122903,0.00122903
4,66.7756,1.45554,1.31816,1.42226,0.63583,0.12128,0.08376,0.03092,2.78289,7.66016,2.85174,0.00123144,0.00123144,0.00123144
5,81.5388,1.41484,1.22198,1.42748,0.62343,0.23984,0.25746,0.12853,2.07961,2.04094,2.22543,0.00122525,0.00122525,0.00122525
6,96.0967,1.40287,1.23497,1.39012,0.22902,0.18418,0.14545,0.05751,2.78629,2.64162,2.44039,0.00121906,0.00121906,0.00121906
7,110.649,1.32925,1.15484,1.34401,0.54134,0.56161,0.57201,0.30582,1.63172,1.50659,1.82258,0.00121287,0.00121287,0.00121287
8,126.12,1.32999,1.14523,1.35978,0.56944,0.55504,0.59005,0.34467,1.36786,1.58788,1.52102,0.00120669,0.00120669,0.00120669
9,140.964,1.31411,1.04921,1.34011,0.68621,0.59801,0.6662,0.40608,1.33302,1.02343,1.54374,0.0012005,0.0012005,0.0012005
10,155.756,1.32568,1.05004,1.35784,0.65589,0.61142,0.62261,0.37197,1.39872,1.34158,1.56737,0.00119431,0.00119431,0.00119431
11,170.825,1.29629,0.996,1.30475,0.73173,0.53801,0.64175,0.37336,1.39869,3.30166,1.55751,0.00118812,0.00118812,0.00118812
12,184.907,1.27587,1.00834,1.325,0.58254,0.55532,0.55639,0.30331,1.56304,1.7092,1.71146,0.00118194,0.00118194,0.00118194
13,198.33,1.26163,0.97264,1.29743,0.66279,0.56734,0.64059,0.3767,1.34759,1.1142,1.54102,0.00117575,0.00117575,0.00117575
14,212.181,1.2736,0.96213,1.30641,0.66376,0.67006,0.72987,0.45007,1.28902,0.99361,1.4997,0.00116956,0.00116956,0.00116956
15,226.359,1.28677,0.98781,1.32154,0.65724,0.56133,0.60591,0.37172,1.3306,1.38645,1.50525,0.00116337,0.00116337,0.00116337
16,239.994,1.24128,0.9311,1.27089,0.64799,0.66376,0.70249,0.42806,1.29877,0.97606,1.46145,0.00115719,0.00115719,0.00115719
17,253.621,1.23792,0.95621,1.29325,0.74546,0.66672,0.74742,0.46437,1.27633,0.91049,1.45731,0.001151,0.001151,0.001151
18,267.811,1.19705,0.88565,1.25537,0.69574,0.62107,0.68682,0.42305,1.29321,1.19612,1.46334,0.00114481,0.00114481,0.00114481
19,281.181,1.20938,0.87731,1.25744,0.64854,0.72197,0.73587,0.46833,1.21826,1.17826,1.42976,0.00113863,0.00113863,0.00113863
20,294.972,1.2114,0.91535,1.26427,0.77051,0.67964,0.77408,0.49,1.21703,0.88081,1.41409,0.00113244,0.00113244,0.00113244
21,309.069,1.19324,0.91423,1.25255,0.65145,0.59768,0.63752,0.39818,1.30561,1.13072,1.47404,0.00112625,0.00112625,0.00112625
22,322.494,1.2124,0.87308,1.26881,0.75905,0.68889,0.77946,0.49156,1.24183,0.90549,1.45961,0.00112006,0.00112006,0.00112006
23,336.267,1.1789,0.85167,1.24479,0.72175,0.73547,0.7853,0.50213,1.19882,0.86675,1.40921,0.00111388,0.00111388,0.00111388
24,349.88,1.20864,0.84182,1.24929,0.75983,0.74885,0.80584,0.52629,1.19241,0.77104,1.3968,0.00110769,0.00110769,0.00110769
25,363.85,1.19149,0.8446,1.26317,0.73599,0.77628,0.79669,0.4902,1.29104,0.78235,1.51306,0.0011015,0.0011015,0.0011015
26,377.458,1.13238,0.81663,1.22614,0.77511,0.73999,0.78907,0.50951,1.24798,0.95448,1.4488,0.00109531,0.00109531,0.00109531
27,390.718,1.16332,0.82491,1.23726,0.7533,0.75457,0.80746,0.51653,1.2224,0.94044,1.42969,0.00108913,0.00108913,0.00108913
28,404.1,1.14391,0.82677,1.21656,0.75492,0.69734,0.74988,0.48603,1.20382,0.83054,1.39758,0.00108294,0.00108294,0.00108294
29,417.257,1.13087,0.82805,1.22215,0.75695,0.73861,0.79831,0.52576,1.19518,0.8039,1.41969,0.00107675,0.00107675,0.00107675
30,430.433,1.15291,0.79471,1.23858,0.71974,0.72596,0.77264,0.49068,1.24854,0.94863,1.4531,0.00107056,0.00107056,0.00107056
31,443.708,1.1265,0.78047,1.22265,0.78438,0.77876,0.83926,0.55189,1.16897,0.72722,1.38484,0.00106437,0.00106437,0.00106437
32,458.247,1.12877,0.81023,1.21345,0.82187,0.78302,0.85878,0.56626,1.17888,0.72402,1.39095,0.00105819,0.00105819,0.00105819
33,472.137,1.13388,0.78832,1.23875,0.80699,0.76272,0.85051,0.56689,1.16445,0.74952,1.37732,0.001052,0.001052,0.001052
34,485.648,1.0986,0.75312,1.197,0.78608,0.75471,0.81969,0.55014,1.16372,0.76134,1.38007,0.00104581,0.00104581,0.00104581
35,499.13,1.12659,0.76572,1.23174,0.74542,0.77186,0.79081,0.51346,1.20803,0.76601,1.39441,0.00103962,0.00103962,0.00103962
36,512.448,1.12292,0.7514,1.22378,0.85375,0.69066,0.8154,0.52645,1.19729,0.79841,1.40531,0.00103344,0.00103344,0.00103344
37,525.585,1.10908,0.74874,1.20433,0.77661,0.76929,0.82727,0.54057,1.1726,0.75912,1.39109,0.00102725,0.00102725,0.00102725
38,538.822,1.11452,0.75413,1.19399,0.79687,0.77877,0.8475,0.56504,1.17275,0.68787,1.40912,0.00102106,0.00102106,0.00102106
39,552.277,1.08461,0.72319,1.19133,0.7231,0.75534,0.77946,0.50881,1.20124,0.82167,1.43053,0.00101488,0.00101488,0.00101488
40,565.534,1.09804,0.71459,1.18166,0.7864,0.78004,0.83803,0.56225,1.16399,0.71833,1.38497,0.00100869,0.00100869,0.00100869
41,578.777,1.08751,0.71763,1.19179,0.76596,0.78479,0.82845,0.56026,1.16189,0.72637,1.37777,0.0010025,0.0010025,0.0010025
42,592.226,1.0904,0.72992,1.19771,0.79249,0.81251,0.84202,0.56457,1.14858,0.67392,1.37206,0.000996313,0.000996313,0.000996313
